# Created by Octave 4.0.0, Tue Sep 08 14:06:20 2015 Eastern Daylight Time <unknown@Loki>
# name: postparent
# type: matrix
# rows: 16
# columns: 16
 257 257 257 257 257 257 257 257 257 257 257 257 257 257 257 257
 257 257 257 257 257 257 257 257 257 257 257 257 257 257 257 257
 257 257 257 257 257 257 257 257 257 257 257 257 257 257 257 257
 257 257 257 257 257 257 257 257 257 257 257 257 257 257 257 257
 257 257 257 257 257 257 257 257 257 257 257 257 257 257 257 257
 257 257 257 257 257 257 257 257 257 257 257 257 257 257 257 257
 257 257 257 257 257 257 257 257 257 257 257 257 257 257 257 257
 257 257 257 257 257 257 257 257 257 257 257 257 257 257 257 257
 258 258 258 258 258 258 258 258 258 258 258 258 258 258 258 258
 258 258 258 258 258 258 258 258 258 258 258 258 258 258 258 258
 258 258 258 258 258 258 258 258 258 258 258 258 258 258 258 258
 258 258 258 258 258 258 258 258 258 258 258 258 258 258 258 258
 258 258 258 258 258 258 258 258 258 258 258 258 258 258 258 258
 258 258 258 258 258 258 258 258 258 258 258 258 258 258 258 258
 258 258 258 258 258 258 258 258 258 258 258 258 258 258 258 258
 258 258 258 258 258 258 258 258 258 258 258 258 258 258 258 258


