# Created by Octave 4.0.0, Tue Sep 08 14:32:55 2015 Eastern Daylight Time <unknown@Loki>
# name: maxnpre
# type: matrix
# rows: 20
# columns: 20
 0.09999999999999999 0.09999999999999999 0.09999999999999999 0.09999999999999999 0.09999999999999999 0.09999999999999999 0.09999999999999999 0.09999999999999999 0.09999999999999999 0.09999999999999999 0.09999999999999999 0.09999999999999999 0.09999999999999999 0.09999999999999999 0.09999999999999999 0.09999999999999999 0.09999999999999999 0.09999999999999999 0.09999999999999999 0.09999999999999999
 0.09999999999999999 0.09999999999999999 0.09999999999999999 0.09999999999999999 0.09999999999999999 0.09999999999999999 0.09999999999999999 0.09999999999999999 0.09999999999999999 0.09999999999999999 0.09999999999999999 0.09999999999999999 0.09999999999999999 0.09999999999999999 0.09999999999999999 0.09999999999999999 0.09999999999999999 0.09999999999999999 0.09999999999999999 0.09999999999999999
 0.09 0.09 0.09 0.09 0.09 0.09 0.09 0.09 0.09 0.09 0.09 0.09 0.09 0.09 0.09 0.09 0.09 0.09 0.09 0.09
 0.08 0.08 0.08 0.08 0.08 0.08 0.08 0.08 0.08 0.08 0.08 0.08 0.08 0.08 0.08 0.08 0.08 0.08 0.08 0.08
 0.06999999999999999 0.06999999999999999 0.06999999999999999 0.06999999999999999 0.06999999999999999 0.06999999999999999 0.06999999999999999 0.06999999999999999 0.06999999999999999 0.06999999999999999 0.06999999999999999 0.06999999999999999 0.06999999999999999 0.06999999999999999 0.06999999999999999 0.06999999999999999 0.06999999999999999 0.06999999999999999 0.06999999999999999 0.06999999999999999
 0.06 0.06 0.06 0.06 0.06 0.06 0.06 0.06 0.06 0.06 0.06 0.06 0.06 0.06 0.06 0.06 0.06 0.06 0.06 0.06
 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05
 0.04 0.04 0.04 0.04 0.04 0.04 0.04 0.04 0.04 0.04 0.04 0.04 0.04 0.04 0.04 0.04 0.04 0.04 0.04 0.04
 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03
 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02
 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02
 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03
 0.04 0.04 0.04 0.04 0.04 0.04 0.04 0.04 0.04 0.04 0.04 0.04 0.04 0.04 0.04 0.04 0.04 0.04 0.04 0.04
 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05
 0.06 0.06 0.06 0.06 0.06 0.06 0.06 0.06 0.06 0.06 0.06 0.06 0.06 0.06 0.06 0.06 0.06 0.06 0.06 0.06
 0.06999999999999999 0.06999999999999999 0.06999999999999999 0.06999999999999999 0.06999999999999999 0.06999999999999999 0.06999999999999999 0.06999999999999999 0.06999999999999999 0.06999999999999999 0.06999999999999999 0.06999999999999999 0.06999999999999999 0.06999999999999999 0.06999999999999999 0.06999999999999999 0.06999999999999999 0.06999999999999999 0.06999999999999999 0.06999999999999999
 0.08 0.08 0.08 0.08 0.08 0.08 0.08 0.08 0.08 0.08 0.08 0.08 0.08 0.08 0.08 0.08 0.08 0.08 0.08 0.08
 0.09 0.09 0.09 0.09 0.09 0.09 0.09 0.09 0.09 0.09 0.09 0.09 0.09 0.09 0.09 0.09 0.09 0.09 0.09 0.09
 0.09999999999999999 0.09999999999999999 0.09999999999999999 0.09999999999999999 0.09999999999999999 0.09999999999999999 0.09999999999999999 0.09999999999999999 0.09999999999999999 0.09999999999999999 0.09999999999999999 0.09999999999999999 0.09999999999999999 0.09999999999999999 0.09999999999999999 0.09999999999999999 0.09999999999999999 0.09999999999999999 0.09999999999999999 0.09999999999999999
 0.11 0.11 0.11 0.11 0.11 0.11 0.11 0.11 0.11 0.11 0.11 0.11 0.11 0.11 0.11 0.11 0.11 0.11 0.11 0.11


